Source,Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence_num,Study
Pubmed,"Periodontal disease, tooth loss and dementia: Is there a link? A systematic review.",Tonsekar PP; Jiang SS; Yue G,"BACKGROUND: It has been suggested that dementia is caused by neuronal damage due to chronic inflammation from peripheral sources such as the oral cavity in periodontal disease. OBJECTIVE: The aim of our review was to assess the risk of dementia or cognitive impairment associated with chronic periodontitis and multiple tooth loss. MATERIALS AND METHODS: An extensive search of electronic databases of articles on the relation between periodontitis, tooth loss and dementia published on or before April 2016 was conducted. Experimental and human studies that provided a description consistent with multiple tooth loss, chronic periodontal disease and cognitive impairment obtained by validated methods were selected. The data extracted from the articles included study design, country of origin, sample size, methods used to assess periodontitis and cognition, average age at the baseline and number of years of follow-up. The Newcastle-Ottawa scale was used to assess the quality of human studies. RESULTS: The literature search yielded 756 articles which were independently screened, and 16 articles were included in the review. Four human studies reported an association of subsequent dementia with multiple tooth loss. One human study reported that chronic periodontal disease was associated with dementia. Eight experimental studies demonstrated an association between cognitive impairment and tooth loss. CONCLUSION: The literature on chronic periodontitis and multiple tooth loss as risk factors to dementia remains inconclusive. More randomised clinical trials on the association between periodontitis and dementia with uniform criteria for evaluation and diagnosis of periodontitis are warranted.",2017,Jun,Gerodontology,34,2,151-163,,10.1111/ger.12261,28168759,#385,Tonsekar 2017
Pubmed,Orthostatic hypotension and symptomatic subclinical orthostatic hypotension increase risk of cognitive impairment: an integrated evidence review and analysis of a large older adult hypertensive cohort.,Peters R; Anstey KJ; Booth A; Beckett N; Warwick J; Antikainen R; Rockwood K; Peters J; Bulpitt CJ,"AIMS: Systematically reviewing the literature found orthostatic hypotension (OH) to be associated with an increased risk of incident dementia but limited data were available in those at highest risk, the hypertensive oldest-old. Our aim was to analyse the relationship between OH and incident cognitive decline or dementia in this group and to synthesize the evidence base overall. METHOD AND RESULTS: Participants aged â‰¥80â€‰years, with hypertension, were from the Hypertension in the Very Elderly Trial (HYVET) cohort. Orthostatic hypotension was defined as a fall of â‰¥15â€‰mmHg in systolic and or â‰¥7â€‰mmHg in diastolic pressure after 2 min standing from a sitting position. Subclinical orthostatic hypotension with symptoms (SOH) was defined as a fall <OH but with unsteadiness, light-headedness, or faintness in the week before blood pressure measurement. Proportional hazard regression was used to examine the relationship between baseline OH, SOH, and cognitive outcomes. There were 3121 in the analytical sample, 538 with OH. Orthostatic hypotension was associated with increased risk of cognitive decline (906 events), hazard ratio (HR) 1.36 (95% confidence interval 1.14-1.59). For incident dementia (241 events), HR 1.34 (0.98-1.84). When competing risk of cardiovascular events were taken into account results were HR 1.39 (1.19-1.62) and HR 1.34 (1.05-1.73), respectively. Subclinical orthostatic hypotension was associated with an increased risk of cognitive decline HR 1.56 (1.12-2.17) and dementia HR 1.79 (1.00-3.20). Combining the results from the HYVET cohort in a meta-analysis with the existing published literature in this area found a 21% (9-35%) increased risk of dementia with OH. CONCLUSION: Orthostatic hypotension indicates an increased risk of dementia and cognitive decline. SOH may also be considered a risk factor, at least in older hypertensive adults. Questions remain regarding the mechanisms and whether interventions to reduce impact of OH could protect cognition.",2018,Sep,Eur Heart J,39,33,3135-3143,,10.1093/eurheartj/ehy418,30052878,#384,Peters 2018
Pubmed,Depressive Symptoms in Mild Cognitive Impairment and the Risk of Dementia: A Systematic Review and Comparative Meta-Analysis of Clinical and Community-Based Studies.,Tan EYL; KÃ¶hler S; Hamel REG; MuÃ±oz-SÃ¡nchez JL; Verhey FRJ; Ramakers IHGB,"BACKGROUND: Affective symptoms are considered a risk factor or prodromal symptom for dementia. Recent reviews indicate that depressive symptoms predict progression from mild cognitive impairment (MCI) to dementia, but results need to be further explored. OBJECTIVE: To investigate the effect of depressive symptoms on the development of dementia in people with MCI, and explore potential sources of between-study variability, including study setting by a systematic review and meta-analysis. METHODS: Databases were searched for prospective studies defining people with MCI at baseline, investigating dementia at follow-up and giving information about depressive symptoms. Two authors independently extracted data from the studies and rated the methodological quality. Meta-analyses were conducted using random-effect models to yield pooled risk ratios (RR). Meta-regression analyses tested differences between clinical and community-based studies and other sources of heterogeneity. RESULTS: Thirty-five studies, representing 14,158 individuals with MCI, were included in the meta-analysis. Depressive symptoms in MCI predicted dementia in 15 community-based studies (RRâ€_=â€_1.69, 95% CI 1.49-1.93, I2â€_=â€_0.0%), but not in 20 clinical studies (RRâ€_=â€_1.02, 95% CI 0.92-1.14, I2â€_=â€_73.0%). Further investigation of this effect showed that the mean age of community-based studies was significantly higher than of clinical studies but neither this nor other study characteristics explained variability in study outcomes. CONCLUSIONS: Depressive symptoms are associated with an increased risk of conversion from MCI to dementia in community-based studies. In contrast, evidence in clinical populations was insufficient with high heterogeneity.",2019,,J Alzheimers Dis,67,4,1319-1329,,10.3233/JAD-180513,30689564,#381,TanEYL 2019
Pubmed,TREM2 variants and risk of Alzheimer's disease: a meta-analysis.,Lu Y; Liu W; Wang X,"Recent studies show that heterozygous variant of triggering receptor expressed on myeloid cells 2 (TREM2) increase the risk of Alzheimer's disease (AD) but with inconclusive results. Here, we conducted a meta-analysis to summarize and clarify the association between TREM2 variants and AD, and examined the relationship between TREM2 genetic variant and the etiology of AD. Relevant case-control studies were retrieved and collected according to established inclusion criteria. Odds ratio (OR) and 95% confidence interval (95% CI) were used to estimate the associations between three TREM2 variants (rs75932628, rs104894002, and rs143332484) and AD. In overall meta-analysis, the summary ORs for rs75932628, rs104894002, and rs143332484 were 2.70 [95% CI: 2.24, 3.24; P < 0.001], 7.21 (95% CI: 1.28, 40.78; P = 0.025), and 1.65 (95% CI: 1.24, 2.21; P = 0.001), respectively, indicating that the TREM2 rs75932628, rs104894002, and rs143332484 may contribute to AD risk. However, sensitivity analysis showed that the results of rs104894002 and rs143332484 should be interpreted with caution, and larger sample size, particularly in different ethnicities, are needed to validate the two variants. The current meta-analysis demonstrates that TREM2 is a candidate gene for AD susceptibility, and TREM2 variant rs75932628 may be a risk factor for AD.",2015,Oct,Neurol Sci,36,10,1881-8,,10.1007/s10072-015-2274-2,26037549,#380,Lu 2015
Pubmed,Determinants of cognitive performance and decline in 20 diverse ethno-regional groups: A COSMIC collaboration cohort study.,Lipnicki DM; Makkar SR; Crawford JD; Thalamuthu A; Kochan NA; Lima-Costa MF; Castro-Costa E; Ferri CP; Brayne C; Stephan B; Llibre-Rodriguez JJ; Llibre-Guerra JJ; Valhuerdi-Cepero AJ; Lipton RB; Katz MJ; Derby CA; Ritchie K; Ancelin ML; CarriÃ¨re I; Scarmeas N; Yannakoulia M; Hadjigeorgiou GM; Lam L; Chan WC; Fung A; Guaita A; Vaccaro R; Davin A; Kim KW; Han JW; Suh SW; Riedel-Heller SG; Roehr S; Pabst A; van Boxtel M; KÃ¶hler S; Deckers K; Ganguli M; Jacobsen EP; Hughes TF; Anstey KJ; Cherbuin N; Haan MN; Aiello AE; Dang K; Kumagai S; Chen T; Narazaki K; Ng TP; Gao Q; Nyunt MSZ; Scazufca M; Brodaty H; Numbers K; Trollor JN; Meguro K; Yamaguchi S; Ishii H; Lobo A; Lopez-Anton R; SantabÃ¡rbara J; Leung Y; Lo JW; Popovic G; Sachdev PS,"BACKGROUND: With no effective treatments for cognitive decline or dementia, improving the evidence base for modifiable risk factors is a research priority. This study investigated associations between risk factors and late-life cognitive decline on a global scale, including comparisons between ethno-regional groups. METHODS AND FINDINGS: We harmonized longitudinal data from 20 population-based cohorts from 15 countries over 5 continents, including 48,522 individuals (58.4% women) aged 54-105 (mean = 72.7) years and without dementia at baseline. Studies had 2-15 years of follow-up. The risk factors investigated were age, sex, education, alcohol consumption, anxiety, apolipoprotein E Îµ4 allele (APOE*4) status, atrial fibrillation, blood pressure and pulse pressure, body mass index, cardiovascular disease, depression, diabetes, self-rated health, high cholesterol, hypertension, peripheral vascular disease, physical activity, smoking, and history of stroke. Associations with risk factors were determined for a global cognitive composite outcome (memory, language, processing speed, and executive functioning tests) and Mini-Mental State Examination score. Individual participant data meta-analyses of multivariable linear mixed model results pooled across cohorts revealed that for at least 1 cognitive outcome, age (B = -0.1, SE = 0.01), APOE*4 carriage (B = -0.31, SE = 0.11), depression (B = -0.11, SE = 0.06), diabetes (B = -0.23, SE = 0.10), current smoking (B = -0.20, SE = 0.08), and history of stroke (B = -0.22, SE = 0.09) were independently associated with poorer cognitive performance (p < 0.05 for all), and higher levels of education (B = 0.12, SE = 0.02) and vigorous physical activity (B = 0.17, SE = 0.06) were associated with better performance (p < 0.01 for both). Age (B = -0.07, SE = 0.01), APOE*4 carriage (B = -0.41, SE = 0.18), and diabetes (B = -0.18, SE = 0.10) were independently associated with faster cognitive decline (p < 0.05 for all). Different effects between Asian people and white people included stronger associations for Asian people between ever smoking and poorer cognition (group by risk factor interaction: B = -0.24, SE = 0.12), and between diabetes and cognitive decline (B = -0.66, SE = 0.27; p < 0.05 for both). Limitations of our study include a loss or distortion of risk factor data with harmonization, and not investigating factors at midlife. CONCLUSIONS: These results suggest that education, smoking, physical activity, diabetes, and stroke are all modifiable factors associated with cognitive decline. If these factors are determined to be causal, controlling them could minimize worldwide levels of cognitive decline. However, any global prevention strategy may need to consider ethno-regional differences.",2019,Jul,PLoS Med,16,7,e1002853,,10.1371/journal.pmed.1002853,31335910,#375,Lipnicki 2019
Pubmed,Homocysteine and Alzheimer's Disease: Evidence for a Causal Link from Mendelian Randomization.,Hu Q; Teng W; Li J; Hao F; Wang N,"BACKGROUND/OBJECTIVE: The relationship between plasma homocysteine (Hcy) levels and Alzheimer's disease (AD) has been studied for many years, but remains controversial. While a recent meta-analysis of epidemiological studies, which included observational studies, indicated that homocysteine may be a risk factor for AD, there remains a need to further demonstrate this link due to the large degree of heterogeneity between studies. Epidemiological studies have certain limitations, as their results can be affected by confounding factors and reverse causation. In this study, we evaluated the relationship between plasma homocysteine and AD by using a Mendelian randomization method to avoid problems of confounding bias and reverse causality. METHODS: We searched the PubMed and EMBASE databases for reports regarding the MTHFR C677T polymorphism (rs1801133) from the time of their inception to September 2015. These reports were combined with related observational studies, and used to evaluate the effect of MTHFR C677T (rs1801133) on the risk for AD. A recent meta-analysis of genome-wide association studies had previously suggested a relationship between homocysteine and MTHFR C677T (rs 1801133). RESULTS: Our met-analysis included 34 studies with 9397 subjects, and demonstrated a significant relationship between plasma total homocysteine levels and the risk for AD (ORâ€_=â€_3.37; 95% CIâ€_=â€_1.90-5.95; pâ€_=â€_2.9Ã—10-5). CONCLUSION: Our meta-analysis demonstrated a causal link between plasma total homocysteine and the risk for AD, and provides a new insight into the etiology and prevention of AD.",2016,Mar,J Alzheimers Dis,52,2,747-56,,10.3233/JAD-150977,27031476,#374,Hu 2016
Pubmed,"Meta-analysis of Alzheimer's disease on 9,751 samples from Norway and IGAP study identifies four risk loci.",Witoelar A; Rongve A; Almdahl IS; Ulstein ID; Engvig A; White LR; SelbÃ_k G; Stordal E; Andersen F; BrÃ_khus A; Saltvedt I; Engedal K; Hughes T; Bergh S; BrÃ¥then G; Bogdanovic N; Bettella F; Wang Y; Athanasiu L; Bahrami S; Le Hellard S; Giddaluru S; Dale AM; Sando SB; Steinberg S; Stefansson H; Snaedal J; Desikan RS; Stefansson K; Aarsland D; Djurovic S; Fladby T; Andreassen OA,"A large fraction of genetic risk factors for Alzheimer's Disease (AD) is still not identified, limiting the understanding of AD pathology and study of therapeutic targets. We conducted a genome-wide association study (GWAS) of AD cases and controls of European descent from the multi-center DemGene network across Norway and two independent European cohorts. In a two-stage process, we first performed a meta-analysis using GWAS results from 2,893 AD cases and 6,858 cognitively normal controls from Norway and 25,580 cases and 48,466 controls from the International Genomics of Alzheimer's Project (IGAP), denoted the discovery sample. Second, we selected the top hits (pâ€‰<â€‰1â€‰Ã—â€‰10(-6)) from the discovery analysis for replication in an Icelandic cohort consisting of 5,341 cases and 110,008 controls. We identified a novel genomic region with genome-wide significant association with AD on chromosome 4 (combined analysis ORâ€‰=â€‰1.07, pâ€‰=â€‰2.48 x 10(-8)). This finding implicated HS3ST1, a gene expressed throughout the brain particularly in the cerebellar cortex. In addition, we identified IGHV1-68 in the discovery sample, previously not associated with AD. We also associated USP6NL/ECHDC3 and BZRAP1-AS1 to AD, confirming findings from a follow-up transethnic study. These new gene loci provide further evidence for AD as a polygenic disorder, and suggest new mechanistic pathways that warrant further investigation.",2018,Dec,Sci Rep,8,1,18088,,10.1038/s41598-018-36429-6,30591712,#370,Witoelar 2018
Pubmed,The preclinical Alzheimer cognitive composite: measuring amyloid-related decline.,Donohue MC; Sperling RA; Salmon DP; Rentz DM; Raman R; Thomas RG; Weiner M; Aisen PS,"IMPORTANCE: As Alzheimer disease (AD) research moves to intervene in presymptomatic phases of the disease, we must develop outcome measures sensitive to the earliest disease-related changes. OBJECTIVE: To demonstrate the feasibility of a cognitive composite outcome for clinically normal elderly participants with evidence of AD pathology using the ADCS Preclinical Alzheimer Cognitive Composite (ADCS-PACC). The ADCS-PACC combines tests that assess episodic memory, timed executive function, and global cognition. The ADCS-PACC is the primary outcome measure for the first clinical trial in preclinical AD (ie, the Anti-Amyloid Treatment in Asymptomatic Alzheimer's study). DESIGN, SETTING, AND PARTICIPANTS: With the ADCS-PACC, we derive pilot estimates of amyloid-related decline using data from 2 observational studies conducted in North America and another conducted in Australia. The participants analyzed had normal cognition and mean ages of 75.81, 71.37, and 79.42 years across the 3 studies. MAIN OUTCOMES AND MEASURES: For the 2 studies that collected data on AÎ_ levels (ADNI and AIBL), we estimate decline in a preclinical AD ""AÎ_-positive"" placebo group and compare them with an ""AÎ_-negative"" group. For the study that did not include data on AÎ_ levels (the ADCS Prevention Instrument [ADCS-PI] study), we grouped participants by the presence of APOE-Îµ4 and by clinical progression. RESULTS: In ADNI, AÎ_-positive participants showed more decline than did AÎ_-negative participants with regard to the ADCS-PACC score at 24 months (mean [SE] difference, -1.239 [0.522] [95% CI, -2.263 to -0.215]; Pâ€‰=â€‰.02). In AIBL, the mean (SE) difference is significant at both 18 months (-1.009 [0.406] [95% CI, -1.805 to -0.213]; Pâ€‰=â€‰.01) and 36 months (-1.404 [0.452] [95% CI, -2.290 to -0.519]; Pâ€‰=â€‰.002). In the ADCS-PI study, APOE-Îµ4 allele carriers performed significantly worse on the ADCS-PACC at 24 months (mean [SE] score, -0.742 [0.294] [95% CI, -1.318 to -0.165]; Pâ€‰=â€‰.01) and 36 months (-1.531 [0.469] [95% CI, -2.450 to -0.612]; Pâ€‰=â€‰.001). In the ADCS-PI study, cognitively normal participants who progress from a global Clinical Dementia Rating score of 0 are significantly worse on the ADCS-PACC than cognitively normal participants who are stable with a global Clinical Dementia Rating score of 0 at months 12, 24, and 36 (mean [SE] ADCS-PACC score, -4.471 [0.702] [95% CI, -5.848 to -3.094]; Pâ€‰<â€‰.001). Using pilot estimates of variance and assuming 500 participants per group with 30% attrition and a 5% Î± level, we project 80% power to detect effects in the range of Î”â€‰=â€‰0.467 to 0.733 on the ADCS-PACC. CONCLUSIONS AND RELEVANCE: Analyses of at-risk cognitively normal populations suggest that we can reliably measure the first signs of cognitive decline with the ADCS-PACC. These analyses also suggest the feasibility of secondary prevention trials.",2014,Aug,JAMA Neurol,71,8,961-70,,10.1001/jamaneurol.2014.803,24886908,#369,Donohue 2014
Pubmed,"The Impact of Hospitalization on Readmission, Institutionalization, and Mortality of People with Dementia: A Systematic Review and Meta-Analysis.",Lehmann J; Michalowsky B; Kaczynski A; Thyrian JR; Schenk NS; Esser A; Zwingmann I; Hoffmann W,"BACKGROUND: People with dementia (PwD) are at a high risk of hospitalization. Hospitals are often not adequately equipped for PwD and discharges often come unexpected. Therefore, PwD are at a risk of adverse outcomes. However, information about those outcomes is rare but crucial for the development of preventive strategies. OBJECTIVES: To conduct a quantitative systematic review and meta-analyses on the impact of a hospitalization on readmission, institutionalization, and mortality in PwD. To identify factors associated with these outcomes. METHODS: PubMed, CENTRAL, and ScienceDirect were searched for studies including terms for dementia, hospital, readmission, institutionalization, and mortality. Relevant were assessed by a quality criteria sheet. Results were summarized in a table. Meta-analysis was conducted with Review Manager 5.3. RESULTS: The search yielded 1,108 studies; 20 fulfilled the inclusion criteria and 10 studies were eligible for meta-analyses. The incidence and relative risk (RR) of mortality (RR 1.74 CI95Â % 1.50, 2.05) and institutionalization (RR: 2.16 CI95Â % 1.31, 3.56) of PwD was significantly higher when compared to people without dementia. Results according to readmission rate were inconsistent. Factors significantly associated with the examined adverse outcomes were severity of dementia, number of medications, and deficits in daily living activities. CONCLUSION: Hospitalization of PwD lead to adverse outcomes. An improvement in the identification of and care for PwD in the acute setting as well as in after care in the community setting, especially in the interface between both settings, is required to prevent adverse outcomes in hospitalized PwD.",2018,,J Alzheimers Dis,64,3,735-749,,10.3233/JAD-171128,29966191,#367,Lehmann 2018
Pubmed,Risk of prevalent and incident dementia associated with insulin-like growth factor and insulin-like growth factor-binding protein 3.,Almeida OP; Hankey GJ; Yeap BB; Paul Chubb SA; Gollege J; Flicker L,"Insulin-like growth factor 1 (IGF-1) influences cell proliferation and survival. In the extracellular environment, IGF-1 circulates bound to proteins (IGF-binding proteins; IGFBP), some of which have physiological effects that seem independent of IGF-1, including the brain (for example, IGFBP-3). We completed a systematic review of the association between dementia and IGF-1 and IGFBP-3, and a cross-sectional and longitudinal study designed to investigate if lower plasma concentration of these proteins increased the risk of prevalent and incident dementia. A total of 3967 men aged 71-89 years joined the study, of whom 535 (13.5%) showed evidence of prevalent cognitive impairment. The plasma concentrations of IGF-1 and IGFBP-3 were similar for men with and without cognitive impairment. The 3432 men free of cognitive impairment were then followed for up to 13 years. During this time 571 (16.6%) developed dementia. The plasma concentration of IGF-1 had no association with incident dementia. The doubling of the plasma concentration of IGFBP-3 decreased the hazard ratio of dementia by 23% (95% confidence interval=5-37%). The results were not affected by age, body mass index and history of smoking, diabetes, hypertension, coronary heart disease or stroke. If these findings are confirmed by others, the plasma concentration of IGFBP-3 could be used to improve the accuracy of predictive models of dementia and as a potential new factor to assist in the development of prevention and treatment strategies.",2018,Aug,Mol Psychiatry,23,8,1825-1829,,10.1038/mp.2017.152,29155799,#366,Almeida 2018
Pubmed,Meta-analysis of Telomere Length in Alzheimer's Disease.,Forero DA; GonzÃ¡lez-Giraldo Y; LÃ_pez-Quintero C; Castro-Vega LJ; Barreto GE; Perry G,"BACKGROUND: Alzheimer's disease (AD) is a common and severe neurodegenerative disorder. Human telomeres are fundamental for the maintenance of genomic stability and play prominent roles in both cellular senescence and organismal aging. Regulation of telomere length (TL) is the result of the complex interplay between environmental and genetic factors. Alterations in TL are increasingly being studied as a possible risk factor for AD, and published studies on TL in AD show discrepant results, highlighting the need for a meta-analysis. METHODS: In the current study, we carried out a meta-analysis of published studies of TL in AD patients and healthy controls. PubMed, Web of Science and Google Scholar databases (from inception to September 2015) were used to identify relevant articles reporting TL in humans with AD, from which we retrieved data such as sample size, experimental methods, and mean TL for cases and controls. A random-effects model was used for meta-analytical procedures. RESULTS: The meta-analysis included 13 primary studies and demonstrated a significant difference in TL between 860 AD patients and 2,022 controls, with a standardized mean difference of -0.984 (confidence interval: -1.433 to -0.535; p value: <.001). CONCLUSIONS: Our results show a consistent evidence of shorter telomeres in AD patients and highlight the importance of the analysis of epigenomic markers associated with neurodegeneration and with the risk for common and severe neurological diseases, such as AD.",2016,Aug,J Gerontol A Biol Sci Med Sci,71,8,1069-73,,10.1093/gerona/glw053,27091133,#361,Forero 2016
Pubmed,Hypercortisolemia and glucocorticoid receptor-signaling insufficiency in Alzheimer's disease initiation and development.,Notarianni E,"The cause and mechanism of development of Alzheimer' s disease (AD) remain unexplained. Hyperactivity of the hypothalamic-pituitary-adrenal (HPA) axis, denoted by adrenal cortisol hypersecretion, is a recognised feature of the condition but generally disregarded as causative, due to lack of association between AD and other hypercortisolemic states. However, a meta-analysis of published studies suggests a need for reappraisal. A specific circadian rhythm of cortisol hypersecretion pertains at mild-to-moderate AD stages, entailing increased levels at the circadian peak from a low nadir. This is in contrast to the continuously elevated levels that are characteristic of other hypercortisolemic states, e.g. Cushing' s disease or major depression. This previously overlooked detail provides a starting premise here: that equating the form of hypercortisolism in AD with that in other states is inappropriate, as phasic and chronic elevation elicit different neuroendocrine effects. Theoretical implications are discussed in this review. Given the capacity of glucocorticoids and corticotropin-releasing hormone to induce AD-associated pathologies, I suggest a role for circadian cortisol hypersecretion in the initiation of sporadic AD; and propose a temporal mechanism for AD development featuring neuroinflammation- mediated suppression of central glucocorticoid receptor (GR) signaling. This latter may represent a critical phase in AD development, where the density of functional GR is proposed to underlie the ""cognitive reserve"". Supporting evidence for this mechanism is drawn from the brain regional locations of AD neuropathologies, and from risk factors for AD development (aging, ApoE-4 genotype, and hypertension). Thus, it is argued that basal hypercortisolemia merits further scrutiny regarding AD causation and development.",2013,Sep,Curr Alzheimer Res,10,7,714-31,,10.2174/15672050113109990137,23906001,#360,Notarianni 2013
Pubmed,Sex Differences in Depression as a Risk Factor for Alzheimer's Disease: A Systematic Review.,Underwood EA; Davidson HP; Azam AB; Tierney MC,"BACKGROUND AND OBJECTIVES: Depression is an important risk factor for Alzheimer's disease (AD) but little is known about the mechanisms of this association. Given sex differences in both AD and depression, we sought to conduct a systematic review and meta-analysis to examine whether there are sex differences in their association, as this may improve understanding of underlying mechanisms. RESEARCH DESIGN AND METHODS: MEDLINE, PsycINFO, and Cochrane Reviews were searched for observational studies including both sexes and examining the association between history of depression and AD. RESULTS: Forty studies, including 62,729 women and 47,342 men, were identified. Meta-analysis was not possible because only 3 studies provided sufficient data. Seven studies provided information about the influence of sex for a qualitative synthesis. Two found an association in men only, 2 in women only, and 3 reported no sex differences. The 2 studies finding an association in women only were unique in that they had the shortest follow-up periods, and were the only clinic-based studies. DISCUSSION AND IMPLICATIONS: The findings of our systematic review show that there are important methodological differences among the few studies providing data on the influence of sex on depression as a risk factor for AD. Had all 40 studies provided sex-segregated data, these methodological differences and their impact on sex effects could have been examined quantitatively. We encourage researchers to report these data, as well as potential moderating factors, so that the role of sex differences can be better understood.",2019,May,Innov Aging,3,2,igz015,,10.1093/geroni/igz015,31276050,#358,Underwood 2019
Pubmed,Association between osteoarthritis and increased risk of dementia: A systemic review and meta-analysis.,Weber A; Mak SH; Berenbaum F; Sellam J; Zheng YP; Han Y; Wen C,"OBJECTIVE: To investigate the possible association between osteoarthritis (OA) and the risk of dementia. METHODS: Cohort, case-control, and cross-sectional studies were obtained from wide literature search up to 20 April 2018 from following electronic databases: PubMed, Embase, Cochrane, using the MeSH terms: ""osteoarthritis"" AND ""dementia"". The literature search was then expanded to congress abstracts. After screening and selection of relevant studies by two investigators, data was extracted. Estimates were then calculated using a random-effect size model. Sensitivity-analysis was conducted for gender and age adjusted studies and pooled for studies with STROBE quality assessment score â‰¥75%. Publication bias was assessed by Funnel plot. Analyses were performed using Data Analysis and Statistical Software Version 14.2. RESULTS: Nearly 1549 publication references were initially retrieved. Twenty-six publications were checked with full-text. Six observational studies with 388,252 individuals were included. OA was associated with a significantly increased risk for dementia (ORâ€_=â€_1.20; 95% confidence interval (CI), 1.03-1.39, Iâ€_=â€_95.6%, Pâ€_<â€_.05). After pooling the studies with adjustment of age and gender, the risk increased (OR 1.36; 95% CI, 1.22-1.51, Iâ€_=â€_75.6%, Pâ€_<â€_.0001). After pooling the study with a STROBE Quality score â‰¥75% the risk for dementia was slightly increased (OR 1.33; 95% CI, 1.17-1.5, Iâ€_=â€_93.5%, pâ€_<â€_0.0001). CONCLUSIONS: There is an association between osteoarthritis and the risk of dementia. This meta-analysis does not provide causality. Further prospective cohort studies are needed to clarify, if knee-, hip-, or hand-OA are independent risk factors for Alzheimer's disease and vascular dementia.",2019,Mar,Medicine (Baltimore),98,10,e14355,,10.1097/MD.0000000000014355,30855434,#355,Weber 2019
Pubmed,Association of microtubule-associated protein tau gene polymorphisms with the risk of sporadic Alzheimer's disease: a meta-analysis.,Yuan H; Du L; Ge P; Wang X; Xia Q,"BACKGROUND: Numerous epidemiological studies were published to investigate the role of microtubule-associated protein tau (MAPT) gene variations (rs7521G/A, rs242557G/A, rs1467967A/G, rs2471738C/T and rs3785883G/A) in SAD, and these genetic polymorphisms may be a risk factor for sporadic Alzheimer's disease (SAD). However, controversial results were revealed. METHODS: The MEDLINE, Embase and HuGEnet databases were searched to identify eligible studies. The odds ratios (ORs) and 95% confidence intervals (CIs) were calculated to evaluate the genetic association of MAPT with the risk of SAD. RESULTS: A total of 30 studies were included in this meta-analysis to assess the association between five single-nucleotide polymorphisms and susceptibility to SAD. The pooled results exhibited no significant association between rs1467967A/G, rs3785883G/A, rs2471738C/T and rs7521G/A polymorphisms and the risk of SAD. However, a lower risk of SAD was observed in the GG versus (GA + AA) model of rs242557G/A polymorphism (OR = 0.86, 95% CI = 0.751-0.983, P = 0.027). CONCLUSION: The present meta-analysis showed that rs1467967A/G, rs3785883G/A, rs2471738C/T and rs7521G/A polymorphisms were not associated with the risk of SAD. However, rs242557G/A genetic polymorphism was associated with susceptibility to SAD, and individuals with a GG genotype of rs242557G/A might be at a lower risk of SAD. Further studies with a larger sample size are required to validate these conclusions.",2018,Jun,Int J Neurosci,128,6,577-585,,10.1080/00207454.2017.1400972,29098924,#352,Yuan 2018
Pubmed,Impact of obstructive sleep apnea on silent cerebral small vessel disease: a systematic review and meta-analysis.,Chokesuwattanaskul A; Lertjitbanjong P; Thongprayoon C; Bathini T; Sharma K; Mao MA; Cheungpasitporn W; Chokesuwattanaskul R,"BACKGROUND: Cerebral small vessel disease (CSVD) is a well-known cause of vascular dementia, a leading medical morbidity in the aging population. Obstructive sleep apnea (OSA) has been validated as a cardiovascular risk factor. However, the relationship between these two clinical syndromes is not well established. We aimed to assess the association between OSA and CSVD. METHODS: Databases were searched from inception through May 2019. Studies that reported incidence or odd ratios of CSVD in patients with OSA were included. Effect estimates from the individual studies were extracted and combined using random-effect, generic inverse variance method of DerSimonian and Laird. RESULTS: A total of 14 observational studies comprising of 4335 patients were included into the analysis. Compared to patients without OSA, patients with OSA were significantly associated with CSVD magnetic resonance imaging (MRI) findings of white matter hyperintensity (WMH) and asymptomatic lacunar infarction (ALI) with a pooled OR of 2.31 (95% confidence interval [CI], 1.46-3.66, I(2)Â =Â 79%) and 1.78 (95% CI, 1.06-3.01, I(2)Â =Â 41%), respectively. However, there was no significant association between OSA and findings of cerebral microbleeds (CMBs), with a pooled odds ratio (OR) of 2.15 (95% CI, 0.64-7.29, I(2)Â =Â 55%). CONCLUSIONS: Our study demonstrated the association between OSA and CSVD MRI findings of white matter hyperintensity (WMH) and asymptomatic lacunar infarction (ALI) when compared to patients without OSA. The absence of an association of CMBs findings with OSA could be due either by a lower sensitivity of neuroimaging techniques utilized to detect CMBs or a potentially different pathogenesis of CMBs.",2020,Apr,Sleep Med,68,,80-88,,10.1016/j.sleep.2019.11.1262,32028230,#348,Chokesuwattanaskul 2020
